"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag","Plate","Experiment","Drug","Infection"
"B12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"B4","Exp1 C10 B1 (1/1)",0.472,59.8110236220472,82.1738037081504,"OK","Plate2","Exp1","C10","B1"
"B5","Exp1 C0 L1 (1/1)",0.445,54.7086614173228,97.6220817842535,"OK","Plate2","Exp1","C0","L1"
"B6","Exp1 C10 L1 (1/1)",0.414,48.8503937007874,118.846024367345,"OK","Plate2","Exp1","C10","L1"
"B7","Exp2 C0 B1 (1/1)",0.452,56.0314960629921,93.3822014216618,"OK","Plate2","Exp2","C0","B1"
"B8","Exp2 C10 B1 (1/1)",0.545,73.6062992125984,49.5368516342036,"OK","Plate2","Exp2","C10","B1"
"B9","Exp2 C0 L1 (1/1)",0.562,76.8188976377953,43.2412241944471,"OK","Plate2","Exp2","C0","L1"
"C10","Exp2 C10 L10 (1/1)",0.405,47.1496062992126,125.905078497003,"OK","Plate2","Exp2","C10","L10"
"C11","",0.453,56.2204724409449,92.7908290208735,"OK","Plate2","","",""
"C12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"C4","Exp1 C10 B10 (1/1)",0.434,52.6299212598425,104.664921132591,"OK","Plate2","Exp1","C10","B10"
"C5","Exp1 C0 L10 (1/1)",0.428,51.496062992126,108.720566237509,"OK","Plate2","Exp1","C0","L10"
"C6","Exp1 C10 L10 (1/1)",0.357,38.0787401574803,173.566883902358,"OK","Plate2","Exp1","C10","L10"
"C7","Exp2 C0 B10 (1/1)",0.446,54.8976377952756,97.005366922271,"OK","Plate2","Exp2","C0","B10"
"C8","Exp2 C10 B10 (1/1)",0.55,74.5511811023622,47.6461944575215,"OK","Plate2","Exp2","C10","B10"
"C9","Exp2 C0 L10 (1/1)",0.579,80.0314960629921,37.2857056369112,"OK","Plate2","Exp2","C0","L10"
"D10","Exp2 C10 L100 (1/1)",0.363,39.2125984251969,166.443823920946,"OK","Plate2","Exp2","C10","L100"
"D11","",0.448,55.2755905511811,95.7831142076849,"OK","Plate2","","",""
"D12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"D4","Exp1 C10 B100 (1/1)",0.392,44.6929133858268,136.983783089496,"OK","Plate2","Exp1","C10","B100"
"D5","Exp1 C0 L100 (1/1)",0.437,53.1968503937008,102.6954698658,"OK","Plate2","Exp1","C0","L100"
"D6","Exp1 C10 L100 (1/1)",0.369,40.3464566929134,159.713902217252,"OK","Plate2","Exp1","C10","L100"
"D7","Exp2 C0 B100 (1/1)",0.462,57.9212598425197,87.620176812369,"OK","Plate2","Exp2","C0","B100"
"D8","Exp2 C10 B100 (1/1)",0.529,70.5826771653543,55.8307355064408,"OK","Plate2","Exp2","C10","B100"
"D9","Exp2 C0 L100 (1/1)",0.581,80.4094488188976,36.604605662001,"OK","Plate2","Exp2","C0","L100"
"E10","Exp2 C100 L0 (1/1)",0.476,60.5669291338583,80.0765936446606,"OK","Plate2","Exp2","C100","L0"
"E11","",0.386,43.5590551181102,142.494090822851,"OK","Plate2","","",""
"E12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"E4","Exp1 C100 B0 (1/1)",0.453,56.2204724409449,92.7908290208735,"OK","Plate2","Exp1","C100","B0"
