"Well","Content","OD405","pct_B_B0","predicted_conc","Plate","Experiment","Drug","Stimulus_type","Stimulus_dose","Stimulus_dose_num","Carprofen_conc"
"B10","Exp4 C0 L1 (1/1)",0.33,29.2906815020862,224.494848535804,"Plate3","Exp4","C0","LPS","1",1,0
"B11","Exp4 C10 L1 (1/1)",0.453,49.8191933240612,88.8529482047483,"Plate3","Exp4","C10","LPS","1",1,10
"B12","Exp3 DMSO 1 (1/1)",0.444,48.317107093185,94.6949100479091,"Plate3","Exp3","DMSO","DMSO","1",1,0
"B4","Exp3 C0 B1 (1/1)",0.569,69.1794158553546,38.5002157544407,"Plate3","Exp3","C0","BCG","1",1,0
"B5","Exp3 C10 B1 (1/1)",0.558,67.3435326842837,41.8466832270205,"Plate3","Exp3","C10","BCG","1",1,10
"B6","Exp3 C0 L1 (1/1)",0.445,48.4840055632823,94.0262314742149,"Plate3","Exp3","C0","LPS","1",1,0
"B7","Exp3 C10 L1 (1/1)",0.478,53.9916550764951,74.4953967623329,"Plate3","Exp3","C10","LPS","1",1,10
"B8","Exp4 C0 B1 (1/1)",0.509,59.1655076495132,59.8175210331102,"Plate3","Exp4","C0","BCG","1",1,0
"B9","Exp4 C10 B1 (1/1)",0.566,68.6787204450626,39.3913272184976,"Plate3","Exp4","C10","BCG","1",1,10
"C10","Exp4 C0 L10 (1/1)",0.375,36.8011126564673,156.710202820094,"Plate3","Exp4","C0","LPS","10",10,0
"C11","Exp4 C10 L10 (1/1)",0.474,53.3240611961057,76.624945387479,"Plate3","Exp4","C10","LPS","10",10,10
"C12","Exp3 DMSO 10 (1/1)",0.461,51.1543810848401,83.9756969384772,"Plate3","Exp3","DMSO","DMSO","10",10,0
"C4","Exp3 C0 B10 (1/1)",0.541,64.5062586926287,47.4736330670098,"Plate3","Exp3","C0","BCG","10",10,0
"C5","Exp3 C10 B10 (1/1)",0.519,60.8344923504868,55.6880226197339,"Plate3","Exp3","C10","BCG","10",10,10
"C6","Exp3 C0 L10 (1/1)",0.407,42.1418636995827,123.488647593925,"Plate3","Exp3","C0","LPS","10",10,0
"C7","Exp3 C10 L10 (1/1)",0.451,49.4853963838665,90.1175937037332,"Plate3","Exp3","C10","LPS","10",10,10
"C8","Exp4 C0 B10 (1/1)",0.521,61.1682892906815,54.8934140149857,"Plate3","Exp4","C0","BCG","10",10,0
"C9","Exp4 C10 B10 (1/1)",0.569,69.1794158553546,38.5002157544407,"Plate3","Exp4","C10","BCG","10",10,10
"D10","Exp4 C0 L100 (1/1)",0.319,27.4547983310153,246.667091430485,"Plate3","Exp4","C0","LPS","100",100,0
"D11","Exp4 C10 L100 (1/1)",0.469,52.4895688456189,79.3721767741375,"Plate3","Exp4","C10","LPS","100",100,10
"D12","Exp3 DMSO 100 (1/1)",0.471,52.8233657858136,78.2616622945564,"Plate3","Exp3","DMSO","DMSO","100",100,0
"D4","Exp3 C0 B100 (1/1)",0.429,45.8136300417246,105.362628184718,"Plate3","Exp3","C0","BCG","100",100,0
